bikeid,month,mileage,biketrips,tripduration,hours
36512,September,828.69,450,521118,145
37195,September,809.48,440,581019,161
37287,September,804.47,429,547167,152
37783,September,788.48,452,567334,158
36100,September,785.76,411,518628,144
36239,September,783.44,432,510318,142
37188,September,765.93,482,624273,173
37335,September,762.26,404,519003,144
37569,September,760.38,414,526803,146
44119,September,753.86,390,521623,145
37260,September,750.07,405,539157,150
35856,September,745.51,423,602216,167
36870,September,745.02,430,516664,144
36049,September,739.36,429,548196,152
36013,September,739.24,436,562752,156
37196,September,738.68,444,587835,163
36467,September,738.68,438,555621,154
36625,September,737.99,406,539106,150
35946,September,737.98,442,532308,148
36486,September,737.07,441,575293,160
37144,September,733.76,404,486245,135
37594,September,733.56,400,514048,143
36971,September,731.75,411,646248,180
36641,September,726.6,376,516686,144
37017,September,725.22,449,539317,150
37870,September,724.16,416,512163,142
37520,September,723.62,442,559026,155
36267,September,721.85,406,555466,154
37707,September,721.3,389,495664,138
36227,September,721.29,436,612498,170
36038,September,720.58,400,485861,135
37094,September,719.57,440,703718,195
36753,September,719.55,400,532091,148
36963,September,719.21,411,536885,149
37474,September,717.49,406,496176,138
35740,September,715.88,402,511664,142
37860,September,714.45,425,562176,156
36784,September,713.75,415,504445,140
37154,September,713.61,388,507388,141
35778,September,713.39,394,487475,135
35658,September,712.83,415,548680,152
36107,September,711.78,419,581406,162
37173,September,710.8,402,545786,152
36799,September,710.05,403,521294,145
45654,September,709.9,425,497337,138
36898,September,709.04,406,510851,142
37447,September,707.56,382,472033,131
36548,September,706.61,384,540836,150
37837,September,705.99,403,481988,134
37079,September,705.26,384,508893,141
36774,September,704.22,421,484214,135
35675,September,704.13,388,511949,142
36809,September,703.13,407,497169,138
37875,September,703.1,393,434959,121
36683,September,702.89,391,530093,147
36088,September,702.63,422,501067,139
35671,September,701.95,415,519854,144
37767,September,698.98,423,512025,142
36526,September,698.95,406,509445,142
35699,September,698.86,403,624586,173
36444,September,698.58,401,486820,135
36157,September,697.23,426,576052,160
35902,September,696.02,389,707440,197
36605,September,695.66,399,481391,134
36344,September,693.13,392,494524,137
36433,September,693.03,390,548639,152
35703,September,692.67,433,500211,139
36828,September,692.2,409,510217,142
37256,September,690.89,414,524615,146
37792,September,690.72,391,508387,141
37397,September,690.57,391,493060,137
37424,September,690.5,388,532347,148
37343,September,689.89,403,562126,156
37166,September,687.63,399,550895,153
36033,September,687.56,383,511191,142
36738,September,687.38,403,474158,132
37184,September,686.91,420,484464,135
37165,September,686.75,401,513825,143
37328,September,686.62,390,500616,139
36277,September,686.45,413,490580,136
37486,September,685.91,412,484698,135
37493,September,685.29,411,500788,139
36727,September,685.29,412,549370,153
35843,September,684.6,393,509958,142
36112,September,684.57,391,497489,138
36355,September,684.19,399,532279,148
36241,September,683.92,368,468245,130
36888,September,683.53,390,471562,131
46296,September,682.49,408,452936,126
36437,September,680.35,409,475523,132
36546,September,680.3,385,491470,137
37729,September,679.91,382,491235,136
37500,September,678.25,395,544721,151
37492,September,674.8,370,469126,130
36246,September,673.93,418,477528,133
37697,September,673.92,362,449759,125
35936,September,673.01,348,424550,118
37591,September,672.45,365,499928,139
36388,September,672.25,412,470385,131
37735,September,671.97,370,495911,138
36479,September,671.3,391,502162,139
36357,September,670.99,407,462281,128
36225,September,670.77,395,488384,136
37480,September,670.5,396,527639,147
36711,September,670.23,402,486859,135
37543,September,669.84,384,528992,147
36148,September,669.45,402,485222,135
36798,September,668.93,376,475753,132
37149,September,668.69,407,562425,156
35897,September,668.18,386,523232,145
36859,September,667.93,389,460587,128
35923,September,667.58,404,511797,142
36903,September,666.66,394,480724,134
34661,September,666.26,363,453145,126
36791,September,666.12,422,489627,136
37073,September,665.18,404,451811,126
36609,September,664.85,365,542623,151
36435,September,664.23,377,472935,131
35993,September,664.01,359,489566,136
36045,September,663.57,399,572626,159
36522,September,663.32,376,523529,145
37620,September,662.8,370,476982,132
37469,September,662.45,394,566798,157
37807,September,662.16,360,485310,135
36459,September,662.04,376,504304,140
37197,September,661.96,397,447171,124
36575,September,661.74,396,494569,137
36133,September,661.5,392,481100,134
