bikeid,mileage,biketrips,tripduration,hours
41931,231.12,190,158052,44
38563,230.7,208,307562,85
41259,228.72,202,142948,40
41437,226.86,205,176673,49
40612,224.87,225,172587,48
40774,221.11,182,141887,39
40130,220.67,201,145836,41
41855,216.63,201,148492,41
38620,214.25,186,130755,36
41935,212.85,194,149713,42
35026,212.5,205,152064,42
39383,210.16,197,137847,38
40638,209.97,185,154377,43
41940,208.81,187,135986,38
41559,208.26,170,152188,42
39070,208.19,190,163688,45
40615,207.72,198,151538,42
40286,206.85,200,140784,39
42023,206.69,185,138273,38
38133,206.51,178,151855,42
40330,206.08,182,142835,40
40659,205.13,193,136055,38
39394,204.73,176,142708,40
41084,203.02,180,145751,40
41278,202.74,189,153754,43
40810,202.47,184,132533,37
41906,201.93,178,140278,39
41871,201.21,202,132982,37
41268,201.19,183,131685,37
38925,201.01,178,128241,36
38053,200.58,199,132692,37
38080,200.13,203,132205,37
41444,200.11,187,134750,37
39200,199.6,182,137277,38
41872,199.31,167,141764,39
39012,199.3,182,128821,36
40131,199.26,161,152112,42
41404,198.96,175,139658,39
40182,198.85,214,154102,43
38785,198.26,180,135315,38
41755,197.95,175,142255,40
41677,197.81,185,142209,40
35195,197.3,195,139359,39
40904,197.18,203,149613,42
39920,197.07,175,139121,39
39955,197.02,180,128369,36
41893,196.23,179,126718,35
41343,195.87,180,138772,39
41762,195.8,203,133190,37
34163,195.78,162,134834,37
39551,195.72,195,133836,37
40759,194.1,189,132166,37
41106,193.97,167,128859,36
38100,193.8,178,128375,36
34820,193.57,176,142537,40
40495,193.45,188,125492,35
41836,193.37,195,133640,37
40873,192.51,186,119176,33
39753,192.5,177,126751,35
38685,192.47,192,132258,37
40587,192.45,195,139424,39
38634,192.2,171,134370,37
40423,192.19,159,125215,35
40132,191.79,202,155710,43
40859,191.76,168,122471,34
40734,191.73,198,142504,40
41685,191.69,176,130248,36
40895,191.62,167,145719,40
41849,191.15,163,124485,35
41050,190.67,161,125495,35
