tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,bike_route_order
71,25:26.4,26:38.1,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,41931,Subscriber,1981,1,1
385,08:56.9,15:22.5,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,41931,Subscriber,1983,2,2
163,17:24.0,20:07.2,3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,3544,Underhill Ave & Pacific St,40.6804836,-73.9646795,41931,Subscriber,1983,2,3
172,57:58.1,00:51.0,3544,Underhill Ave & Pacific St,40.6804836,-73.9646795,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,41931,Subscriber,1983,1,4
481,19:17.1,27:19.0,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,3414,Bergen St & Flatbush Ave,40.68094472,-73.97567332,41931,Subscriber,1978,2,5
1759,46:36.6,15:56.0,3414,Bergen St & Flatbush Ave,40.68094472,-73.97567332,496,E 16 St & 5 Ave,40.73726186,-73.99238967,41931,Subscriber,1986,1,6
723,06:33.9,18:37.0,496,E 16 St & 5 Ave,40.73726186,-73.99238967,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,41931,Subscriber,1990,1,7
639,29:06.8,39:46.2,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,393,E 5 St & Avenue C,40.72299208,-73.97995466,41931,Subscriber,1980,2,8
238,54:46.0,58:44.7,393,E 5 St & Avenue C,40.72299208,-73.97995466,410,Suffolk St & Stanton St,40.72066442,-73.98517977,41931,Subscriber,1994,1,9
232,35:55.7,39:48.0,410,Suffolk St & Stanton St,40.72066442,-73.98517977,531,Forsyth St & Broome St,40.71893904,-73.99266288,41931,Subscriber,1965,1,10
797,11:22.4,24:40.3,531,Forsyth St & Broome St,40.71893904,-73.99266288,507,E 25 St & 2 Ave,40.73912601,-73.97973776,41931,Subscriber,1992,1,11
305,47:20.8,52:26.4,507,E 25 St & 2 Ave,40.73912601,-73.97973776,402,Broadway & E 22 St,40.740343200000005,-73.98955109,41931,Subscriber,1986,1,12
483,06:43.9,14:47.1,402,Broadway & E 22 St,40.740343200000005,-73.98955109,494,W 26 St & 8 Ave,40.74734825,-73.99723551,41931,Subscriber,1983,1,13
827,10:26.3,24:13.3,494,W 26 St & 8 Ave,40.74734825,-73.99723551,508,W 46 St & 11 Ave,40.76341379,-73.99667444,41931,Subscriber,1961,1,14
1215,31:04.6,51:19.8,508,W 46 St & 11 Ave,40.76341379,-73.99667444,127,Barrow St & Hudson St,40.73172428,-74.00674436,41931,Subscriber,1976,2,15
779,56:02.3,09:01.7,127,Barrow St & Hudson St,40.73172428,-74.00674436,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,41931,Subscriber,1972,1,16
764,20:40.1,33:24.9,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3467,W Broadway & Spring St,40.72494672,-74.00165856,41931,Subscriber,1974,1,17
538,01:46.3,10:44.4,3467,W Broadway & Spring St,40.72494672,-74.00165856,482,W 15 St & 7 Ave,40.73935542,-73.99931783,41931,Subscriber,1995,1,18
1017,10:53.3,27:50.4,482,W 15 St & 7 Ave,40.73935542,-73.99931783,195,Liberty St & Broadway,40.70905623,-74.01043382,41931,Subscriber,1992,1,19
2291,30:33.6,08:45.5,195,Liberty St & Broadway,40.70905623,-74.01043382,502,Henry St & Grand St,40.714211,-73.981095,41931,Subscriber,1963,1,20
161,09:53.5,12:34.9,502,Henry St & Grand St,40.714211,-73.981095,307,Canal St & Rutgers St,40.71427487,-73.98990025,41931,Subscriber,1973,1,21
454,29:48.6,37:22.7,307,Canal St & Rutgers St,40.71427487,-73.98990025,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,41931,Subscriber,1988,1,22
424,32:16.8,39:21.7,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,41931,Subscriber,1991,1,23
456,21:02.6,28:39.2,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,41931,Subscriber,1998,2,24
2526,26:03.5,08:09.8,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,247,Perry St & Bleecker St,40.73535398,-74.00483091,41931,Subscriber,1996,1,25
1783,18:31.3,48:14.9,247,Perry St & Bleecker St,40.73535398,-74.00483091,3105,N 15 St & Wythe Ave,40.724055,-73.955736,41931,Customer,1969,0,26
1942,36:49.9,09:12.4,3105,N 15 St & Wythe Ave,40.724055,-73.955736,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,41931,Subscriber,1970,1,27
723,55:27.8,07:31.2,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,295,Pike St & E Broadway,40.71406667,-73.99293911,41931,Subscriber,1990,2,28
95,50:35.1,52:10.9,295,Pike St & E Broadway,40.71406667,-73.99293911,307,Canal St & Rutgers St,40.71427487,-73.98990025,41931,Subscriber,1978,1,29
334,58:43.1,04:17.6,307,Canal St & Rutgers St,40.71427487,-73.98990025,320,Leonard St & Church St,40.717571,-74.005549,41931,Subscriber,1994,1,30
715,14:41.7,26:37.0,320,Leonard St & Church St,40.717571,-74.005549,346,Bank St & Hudson St,40.73652889,-74.00618026,41931,Subscriber,1978,1,31
281,29:17.4,33:59.1,346,Bank St & Hudson St,40.73652889,-74.00618026,334,W 20 St & 7 Ave,40.74238787,-73.99726235,41931,Subscriber,1990,1,32
593,36:15.7,46:09.0,334,W 20 St & 7 Ave,40.74238787,-73.99726235,465,Broadway & W 41 St,40.75513557,-73.98658032,41931,Subscriber,1988,1,33
647,11:37.2,22:24.6,465,Broadway & W 41 St,40.75513557,-73.98658032,482,W 15 St & 7 Ave,40.73935542,-73.99931783,41931,Subscriber,1986,1,34
229,08:00.4,11:49.7,482,W 15 St & 7 Ave,40.73935542,-73.99931783,3708,W 13 St & 5 Ave,40.735445,-73.99431,41931,Subscriber,1986,1,35
325,28:29.3,33:54.9,3708,W 13 St & 5 Ave,40.735445,-73.99431,250,Lafayette St & Jersey St,40.72456089,-73.99565293,41931,Subscriber,1973,1,36
826,39:59.2,53:45.9,250,Lafayette St & Jersey St,40.72456089,-73.99565293,325,E 19 St & 3 Ave,40.73624527,-73.98473765,41931,Subscriber,1957,2,37
449,07:58.7,15:28.2,325,E 19 St & 3 Ave,40.73624527,-73.98473765,526,E 33 St & 5 Ave,40.74765947,-73.98490707,41931,Subscriber,1991,1,38
756,52:28.5,05:04.5,526,E 33 St & 5 Ave,40.74765947,-73.98490707,515,W 43 St & 10 Ave,40.76009437,-73.99461843,41931,Subscriber,1949,1,39
329,10:40.9,16:10.7,515,W 43 St & 10 Ave,40.76009437,-73.99461843,500,Broadway & W 51 St,40.76228826,-73.98336183,41931,Subscriber,1983,1,40
246,42:28.5,46:35.1,500,Broadway & W 51 St,40.76228826,-73.98336183,72,W 52 St & 11 Ave,40.76727216,-73.99392888,41931,Subscriber,1982,1,41
208,05:53.9,09:22.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,41931,Subscriber,1993,1,42
1286,15:50.3,37:17.0,478,11 Ave & W 41 St,40.76030096,-73.99884222,426,West St & Chambers St,40.71754834,-74.01322069,41931,Subscriber,2000,1,43
1418,50:13.5,13:52.2,426,West St & Chambers St,40.71754834,-74.01322069,3707,Lexington Ave & E 26 St,40.741459000000006,-73.983293,41931,Subscriber,1990,2,44
1737,31:05.7,00:03.5,3707,Lexington Ave & E 26 St,40.741459000000006,-73.983293,351,Front St & Maiden Ln,40.70530954,-74.00612572,41931,Subscriber,1998,2,45
353,18:35.7,24:29.4,351,Front St & Maiden Ln,40.70530954,-74.00612572,331,Pike St & Monroe St,40.71173107,-73.99193043,41931,Subscriber,1996,1,46
731,34:50.0,47:01.4,331,Pike St & Monroe St,40.71173107,-73.99193043,319,Fulton St & Broadway,40.711065999999995,-74.009447,41931,Subscriber,1975,1,47
169,56:58.9,59:48.8,319,Fulton St & Broadway,40.711065999999995,-74.009447,309,Murray St & West St,40.7149787,-74.013012,41931,Subscriber,1985,1,48
263,15:27.6,19:50.8,309,Murray St & West St,40.7149787,-74.013012,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,41931,Subscriber,1974,1,49
262,13:03.1,17:25.8,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,41931,Subscriber,1983,1,50
249,17:00.5,21:10.1,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,41931,Subscriber,1966,1,51
1565,33:33.4,59:38.8,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,422,W 59 St & 10 Ave,40.770513,-73.988038,41931,Subscriber,1968,1,52
1250,23:32.7,44:23.4,422,W 59 St & 10 Ave,40.770513,-73.988038,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,41931,Subscriber,1969,2,53
